NAME,TYPE,ADDRESS,LATITUDE,LONGITUDE,URL,school_zones
Zaxby's Chicken Fingers & Buffalo Wings,Fast Food,5303 S Miami Blvd,35.88230434,-78.84989312,https://www.zaxbys.com/locations/nc/durham/5303-s-miami-blvd/?utm_source=local&utm_medium=organic&utm_campaign=gmb,"Bethesda Elementary, Lowes Grove Middle, Hillside High"
Bojangles,Fast Food,176 Stratford Lakes Dr,35.94303687,-78.90613813,https://locations.bojangles.com/nc/durham/176-stratford-lake-drive.html,"Southwest Elementary, Lowes Grove Middle, Hillside High"
Subway,Fast Food,2301 Erwin Rd,36.00765498,-78.93816552,https://restaurants.subway.com/united-states/nc/durham/atrium-cafe-rear?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=65042&utm_campaign=evergreen-2020&y_source=1_MTQ5MTY5MDctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"Forest View Elementary, Brogden Middle, Riverside High"
Jimmy's Famous Hot Dogs,Fast Food,4435 NC-55,35.90927672,-78.89324022,http://www.jimmysfamoushotdogs.com/,"Bethesda Elementary, Lowes Grove Middle, Hillside High"
Church's Texas Chicken,Fast Food,942 N Miami Blvd,35.99811997,-78.85381711,https://locations.churchs.com/nc/durham/942-n-miami-boulevard,"Merrick-Moore Elementary, Neal Middle, Southern High"
Subway,Fast Food,4600 Durham-Chapel Hill Blvd Suite 39,35.96358943,-78.97720387,https://restaurants.subway.com/united-states/nc/durham/4600-durham-chapel-hill-blvd?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=1681&utm_campaign=evergreen-2020&y_source=1_MTQ5MDM3MjAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"Forest View Elementary, Githens Middle, Jordan High"
Bojangles,Fast Food,1712 S Miami Blvd,35.94846759,-78.83650938,https://locations.bojangles.com/nc/durham/1712--s--miami-blvd.html,"Bethesda Elementary, Lowes Grove Middle, Hillside High"
The Dog House,Fast Food,2009 Guess Rd,36.0229461,-78.91688348,https://www.facebook.com/thedoghousenc/,"E.K. Powe Elementary, Brogden Middle, Riverside High"
KFC,Fast Food,1110 W NC-54,35.92028246,-78.9567519,https://locations.kfc.com/nc/durham/1110-w-nc-54,"Southwest Elementary, Githens Middle, Jordan High"
Popeyes Louisina Kitchen,Fast Food,6910 Fayetteville Rd,35.90580769,-78.94406759,https://www.popeyes.com/store-locator/store/restaurant_241028,"Lyons Farm Elementary, Githens Middle, Jordan High"
Bojangles,Fast Food,2801 Guess Rd,36.03118168,-78.92862714,https://locations.bojangles.com/nc/durham/2801-guess-rd.html,"Holt Elementary, Brogden Middle, Riverside High"
KFC,Fast Food,511 Horton Rd,36.05124262,-78.9032355,https://locations.kfc.com/nc/durham/511-horton-rd,"Holt Elementary, Carrington Middle, Riverside High"
Tasty Shop,Fast Food,3600 N Duke #39b,36.04892084,-78.90285462,https://tasty-stop.business.site//,"Holt Elementary, Carrington Middle, Riverside High"
Burger King,Fast Food,5630 S Miami Blvd,35.87611269,-78.8484908,https://burgerking.com/store-locator/store/restaurant_11119,"Bethesda Elementary, Lowes Grove Middle, Hillside High"
Popeyes Louisina Kitchen,Fast Food,3400 Westgate Dr,35.96654857,-78.96168148,https://www.popeyes.com/store-locator/store/restaurant_240722,"Forest View Elementary, Githens Middle, Jordan High"
Jersey Mike's,Fast Food,3409-H Hillsborough Rd Suite A-1,36.01863028,-78.94560433,https://www.jerseymikes.com/3173/durham-nc,"E.K. Powe Elementary, Brogden Middle, Riverside High"
Jimmy John's,Fast Food,701 9th St,36.0080115,-78.91986644,https://locations.jimmyjohns.com/nc/durham/sandwiches-453.html?utm_source=google%20my%20business&utm_medium=organic&utm_campaign=website%20link,"E.K. Powe Elementary, Brogden Middle, Riverside High"
Sam's Southern Eatery,Restaurant,910 N Miami Blvd,35.99222689,-78.86600811,https://samssoutherneatery.com/,"Merrick-Moore Elementary, Neal Middle, Southern High"
Subway,Fast Food,3600 Hillsborough Rd,36.02385895,-78.95330578,https://restaurants.subway.com/united-states/nc/durham/3600-hillsborough-rd?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=12401&utm_campaign=evergreen-2020&y_source=1_MTQ5MDM2NzctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"Hillandale Elementary, Brogden Middle, Riverside High"
Subway,Fast Food,1525 Glenn School Rd,36.02920968,-78.84232017,https://restaurants.subway.com/united-states/nc/durham/1525-glen-school-road?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=36194&utm_campaign=evergreen-2020&y_source=1_MTQ4OTY3OTktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"Glenn Elementary, Neal Middle, Southern High"
Firehouse Subs,Fast Food,2608 Erwin Rd TE 128,36.00945168,-78.94514364,https://www.firehousesubs.com/locations/nc/duke,"Forest View Elementary, Brogden Middle, Riverside High"
Subway,Fast Food,3500 N Roxboro St Unit #40,36.03657972,-78.88911125,https://restaurants.subway.com/united-states/nc/durham/3500-roxboro-rd?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=10120&utm_campaign=evergreen-2020&y_source=1_MTQ5MDc4MDEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"Holt Elementary, Carrington Middle, Riverside High"
Mi Calvillo Antojitos Mexicanos,Fast Food,Restaurant,36.01010896,-78.92127303,NA,"E.K. Powe Elementary, Brogden Middle, Riverside High"
Subway,Fast Food,610 E Lawson St,35.97616373,-78.89833003,https://restaurants.subway.com/united-states/nc/durham/610-e-lawson-street?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=63736&utm_campaign=evergreen-2020&y_source=1_MTQ4OTUzNzQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"W.G Pearson Elementary, Githens Middle, Hillside High"
Biscuitville,Fast Food,3201 Hillsborough Rd,36.01815931,-78.94121701,https://biscuitville.com/,"E.K. Powe Elementary, Brogden Middle, Riverside High"
Jersey Mike's Subs,Fast Food,3600 N Duke St #37,36.04930412,-78.90127139,https://www.jerseymikes.com/3100,"Holt Elementary, Carrington Middle, Riverside High"
Subway,Fast Food,3799 Guess Rd,36.05746588,-78.92767518,https://restaurants.subway.com/united-states/nc/durham/3799-guess-rd?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=1933&utm_campaign=evergreen-2020&y_source=1_MTQ5MDIxNDktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,
Subway,Fast Food,2120 Avondale Dr,36.01677532,-78.88905881,https://restaurants.subway.com/united-states/nc/durham/2120-avondale-drive?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=41028&utm_campaign=evergreen-2020&y_source=1_MTQ5MTA1NTYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"Glenn Elementary, Carrington Middle, Northern High"
Wendy's ,Fast Food,910 Martin Luther King Jr Pkwy,35.94701074,-78.92145856,https://locations.wendys.com/united-states/ga/atlanta/3990-martin-l-king-dr?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US,"Southwest Elementary, Lowes Grove Middle, Hillside High"
Pie Pushers,Fast Food,117A W Main St,35.99544594,-78.9009371,https://www.piepushers.com/,"C.C. Spaulding Elementary, Brogden Middle, Jordan High"
Subway,Fast Food,5450 New Hope Commons Dr,35.95516094,-78.9988593,https://restaurants.subway.com/united-states/nc/durham/5450-new-hope-commons-drive?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=49175&utm_campaign=evergreen-2020&y_source=1_MTQ5MTU2MzYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"Creekside Elementary, Githens Middle, Jordan High"
Subway,Fast Food,1000 N Miami Blvd,35.99440824,-78.8689934,https://restaurants.subway.com/united-states/nc/durham/1000-n-miami-blvd?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=11138&utm_campaign=evergreen-2020&y_source=1_MTQ5MTA5MzItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"Merrick-Moore Elementary, Neal Middle, Southern School of Energy and Sustainability"
Chipolte Mexican Grill,Fast Food,3219 Watkins Rd #100,35.95325506,-78.99169323,https://locations.chipotle.com/nc/durham/3219-watkins-rd?utm_source=google&utm_medium=yext&utm_campaign=yext_listings,"Creekside Elementary, Githens Middle, Jordan High"
Subway,Fast Food,5300 N Roxboro St,36.03602488,-78.89084928,https://restaurants.subway.com/united-states/nc/durham/3500-roxboro-rd?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=10120&utm_campaign=evergreen-2020&y_source=1_MTQ5MDc4MDEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"Holt Elementary, Carrington Middle, Riverside High"
Jersey Mike's Subs,Fast Food,2945 S Miami Blvd #101,35.92426374,-78.84379272,https://www.jerseymikes.com/3098,"Bethesda Elementary, Lowes Grove Middle, Hillside High"
Jersey Mike's Subs,Fast Food,7005 Fayetteville Rd #101,35.90075819,-78.93751954,https://www.jerseymikes.com/3140/durham-nc,"Lyons Farm Elementary School, Githens Middle School, Jordan High School       "
