CENTER_NAME,name,LATITUDE,LONGITUDE,URL,,,,,
RN Harris SAC Club,RN Harris SAC Club,35.9703461,-78.8838058,https://childcarecenter.us/provider_detail/rn_harris_sac_club_durham_nc,,,,,
The Learning Circle,The Learning Circle,35.9549594,-78.9079413,https://thelearningcirclend.com,,,,,
The Learning Experience,The Learning Experience,35.895892,-78.897172,https://thelearningexperience.com,,,,,
The Woodcroft School,The Woodcroft School,35.922586,-78.956272,https://thewoodcroftschool.com,,,,,
Triangle Day Care,Triangle Day Care,35.9520213,-78.899252,https://durhamprek.org/triangle-day-care-center-2/,,,,,
Victorious Daycare and Preschool Academy,Victorious Daycare and Preschool Academy,35.9296281,-78.8154222,https://childcarecenter.us/provider_detail/victorious_day_care_preschool_academy_durham_nc,,,,,
Bright Horizons Family Solutions,Bright Horizons Family Solutions,35.958209991455,-78.962776184082,https://www.brighthorizons.com,,,,,
Grey Stone Christian Learning Center,Grey Stone Christian Learning Center,36.0102454,-78.9293581,https://childcarecenter.us/provider_detail/grey_stone_christian_learning_center_durham_nc,,,,,
Growing Legacy Early Learning Center,Growing Legacy Early Learning Center,35.9959297,-78.9115245,https://growinglegacyelc.wixsite.com/website,,,,,
Holt Elementary Pre-K,Holt Elementary Pre-K,36.0562431,-78.9064834,https://childcarecenter.us/provider_detail/holt_elementary_pre_k_durham_nc,,,,,
King's Kids Child Development Center,King's Kids Child Development Center,35.966443,-78.895445,https://childcarecenter.us/provider_detail/kings_kids_child_development_center_durham_nc,,,,,
Landeeingdam Dosland Daycare,Landeeingdam Dosland Daycare,35.9627396,-78.8827965,https://childcarecenter.us/provider_detail/landeeingdam_dosland_daycare_durham_nc,,,,,
Liberty Baptist Day Care,Liberty Baptist Day Care,36.0637926,-78.9255104,https://lcsdurham.org/day-care/,,,,,
Little Learners Day Care Center,Little Learners Day Care Center,36.0341941,-78.8826607,https://www.countyoffice.org/little-learners-day-care-center-durham-nc-234/,,,,,
Whitted School,Whitted School,35.9820457,-78.9019952,https://www.durhamprek.org/the-whitted-school/,,,,,
Little Kidz Preschool,Little Kidz Preschool,36.0374585,-78.9274713,https://little-kidz-preschool.company.site,,,,,
