STOP_NAME,STOP_ID,LATITUDE,LONGITUDE,SHARED_ROUTES,SHELTERED,SIDEWALK
Angier Ave at Wood Chapel Ln (WB),6311,35.94205,-78.832415,"2, 2A",0,NA
Angier Ave at Miami Blvd,6312,35.945405,-78.837467,"2, 2A",0,NA
Angier Ave at Bungalow Ave,6313,35.94963,-78.84415,"2, 2A",0,NA
Angier Ave at Midway Ave,6314,35.96667,-78.85914,"2, 2A",0,NA
Roxboro Rd at Foushee St,6315,36.01658,-78.88992,4,0,NA
W Morgan St at Foster St (Downtown YMCA),6316,35.998204,-78.901495,4,0,NA
Pettigrew St at Mangum St (EB),6317,35.994004,-78.901578,"2A, 2B, 3, 3B, 3C, 8, 9, 9A, 9B",0,NA
Martin Luther King Jr Pkwy at Stratford Lakes Dr (WB),6319,35.941419,-78.912389,7,0,1
MLK Pkwy at Stratford Lake Dr,6320,35.941049,-78.912265,7,0,NA
Cornwallis Rd at Roxboro Rd,6322,35.96455,-78.91784,7,1,NA
Lakewood Ave at Fayetteville St,6330,35.986421,-78.899168,"5, 5K",0,NA
Erwin Rd at Trent Dr (WB),6331,36.008035,-78.934803,"6, 6B, BCC",0,1
American Dr at Constitution Dr,6333,36.016633,-78.966937,6,0,0
Chapel Dr at Duke University Rd (Alumni House),6334,35.9979148,-78.933508,"6, 6B, DRX, D C3",0,NA
Hillsborough Rd at Cole Mill Rd (CVS),6335,36.0221326,-78.953116,11,1,NA
Gregson St at Main St (Brightleaf Square),6336,35.9995663,-78.909754,"1, 1A, 1B, 11",0,1
Cornwallis Rd at Laurel Oaks Dr (SB),6337,35.9346544,-78.891561,"12, 12B",0,NA
NC 55 at Martin Luther King Jr Pkwy,6338,35.9319987,-78.888631,"12, 12B",0,NA
NC 55 at Odyssey Dr (out),6339,35.9283056,-78.889281,"12, 12B",0,NA
NC 55 at Carpenter Fletcher Rd (out),6340,35.9145571,-78.891884,"12, 12B",0,NA
Highway 98 at Joyland Ave,6343,35.989426,-78.854731,3C,0,NA
Holloway St at Herbert St (WB),6344,35.9917388,-78.864677,"3B, 3C, 23",0,0
Taylor St at Driver St (Holton Career Center),6345,35.988947,-78.879199,"2B, 23",1,1
Taylor St at Driver St (EB),6347,35.988829,-78.877644,"2B, 23",0,1
Holloway St at Durham Ridge Assisted Living,6348,35.9833961,-78.8297,"3B, 23",1,0
