,Unnamed: 0,name,CENTER_NAME,LATITUDE,LONGITUDE,school_zones
126,126,A New Beginning IV,A New Beginning IV,36.0181323,-78.8889372,Ten Schools
127,127,Bright Horizons Family Solutions,Bright Horizons Family Solutions,35.958209991455,-78.962776184082,"CEJordan,Ten Schools"
128,128,Grey Stone Christian Learning Center,Grey Stone Christian Learning Center,36.0102454,-78.9293581,"EK Powe,Ten Schools"
129,129,Growing Legacy Early Learning Center,Growing Legacy Early Learning Center,35.9959297,-78.9115245,"CC Spaulding,CEJordan,Ten Schools"
130,130,Holt Elementary Pre-K,Holt Elementary Pre-K,36.0562431,-78.9064834,Ten Schools
131,131,King's Kids Child Development Center,King's Kids Child Development Center,35.966443,-78.895445,"Fayetteville St,Hillside,Ten Schools"
132,132,Landeeingdam Dosland Daycare,Landeeingdam Dosland Daycare,35.9627396,-78.8827965,"Hillside,Ten Schools"
133,133,Liberty Baptist Day Care,Liberty Baptist Day Care,36.0637926,-78.9255104,Ten Schools
134,134,Little Learners Day Care Center,Little Learners Day Care Center,36.0341941,-78.8826607,Ten Schools
135,135,Whitted School,Whitted School,35.9820457,-78.9019952,"CC Spaulding,CEJordan,Ten Schools"
136,136,Little Kidz Preschool,Little Kidz Preschool,36.0374585,-78.9274713,Ten Schools
